Department=[Amazon.com],Search Term=[],Enter ASINs or Products=[],Reporting Range=[Weekly],Viewing=[11/8/20 - 11/14/20],,,,,,,,,,
Department,Search Term,Search Frequency Rank,#1 Clicked ASIN,#1 Product Title,#1 Click Share,#1 Conversion Share,#2 Clicked ASIN,#2 Product Title,#2 Click Share,#2 Conversion Share,#3 Clicked ASIN,#3 Product Title,#3 Click Share,#3 Conversion Share
Amazon.com,ps5,1,B08FC5L3RG,PlayStation 5 Console,56.57%,29.48%,B08FC6C75Y,DualSense Wireless Controller,12.37%,26.60%,B08FC6MR62,PlayStation 5 Digital Edition,5.51%,0.98%
Amazon.com,playstation 5,2,B08FC5L3RG,PlayStation 5 Console,64.74%,31.82%,B08FC6MR62,PlayStation 5 Digital Edition,12.79%,3.29%,B08FC6C75Y,DualSense Wireless Controller,10.99%,25.75%
Amazon.com,xbox series x,3,B08H75RTZ8,Xbox Series X,74.62%,30.16%,B074WPGYRF,"Microsoft Xbox One X 1Tb Console With Wireless Controller: Xbox One X Enhanced, Hdr, Native 4K, Ultra Hd (Discontinued)",3.84%,4.31%,B08G9J44ZN,Xbox Series S,2.96%,2.65%
Amazon.com,christmas decorations clearance,4,B07VXSWNF9,"CCINEE 300 PCS 8 Sheet Christmas Snowflake Window Cling Stickers for Glass, Xmas Decals Decorations Holiday Snowflake Santa Claus Reindeer Decals for Party",5.36%,7.09%,B01LLSNG1E,"Twinkle Star 300 LED Window Curtain String Light Wedding Party Home Garden Bedroom Outdoor Indoor Wall Decorations, Warm White",3.68%,2.72%,B07YBRYDBB,"Christmas Lights, Snowflake String Lights 19.6 ft 40 LED Fairy Lights Battery Operated Waterproof for Xmas Garden Patio Bedroom Party Decor Indoor Outdoor Celebration Lighting",3.54%,3.18%
Amazon.com,iphone 12 pro max case,5,B08CZL5NX7,"TORRAS Shockproof Compatible with iPhone 12 Pro Max Case 6.7 Inch, [Military Grade Drop Protection], Translucent Matte Phone Case Designed for iPhone 12 Pro Max 5G 2020, [Guardian Series], Black",3.90%,3.72%,B08CVSH6V7,"TORRAS Slim Fit Designed for iPhone 12 Pro Max Case 6.7 inch Ultra Thin Sturdy Yet Protective Phone Case 2020, Space Black",3.63%,3.68%,B08BG9CYFL,Spigen Ultra Hybrid Designed for iPhone 12 Pro Max Case (2020) - Crystal Clear,3.49%,4.14%
Amazon.com,ps5 console,6,B08FC5L3RG,PlayStation 5 Console,56.93%,45.18%,B08FC6C75Y,DualSense Wireless Controller,10.23%,16.51%,B01LOP8EZC,PlayStation 4 Pro 1TB Console,4.03%,1.19%
Amazon.com,christmas decorations,7,B07YBRYDBB,"Christmas Lights, Snowflake String Lights 19.6 ft 40 LED Fairy Lights Battery Operated Waterproof for Xmas Garden Patio Bedroom Party Decor Indoor Outdoor Celebration Lighting",5.50%,5.41%,B07JPYYMLK,ORIENTAL CHERRY Merry Christmas Banner - Vintage Xmas Decorations Indoor for Home Office Party Fireplace Mantle,4.79%,6.35%,B07VXSWNF9,"CCINEE 300 PCS 8 Sheet Christmas Snowflake Window Cling Stickers for Glass, Xmas Decals Decorations Holiday Snowflake Santa Claus Reindeer Decals for Party",3.70%,4.77%
Amazon.com,christmas tree,8,B07K4FC32F,"Best Choice Products 6ft Pre-Lit Snow Flocked Artificial Holiday Christmas Pine Tree for Home, Office, Party Decoration w/ 250 Warm White Lights, Metal Hinges & Base",11.05%,8.95%,B01L9X99GC,"Best Choice Products 7.5ft Premium Spruce Artificial Holiday Christmas Tree for Home, Office, Party Decoration w/ 1,346 Branch Tips, Easy Assembly, Metal Hinges & Foldable Base",7.47%,9.95%,B08HVC479B,Bolylight Outdoor Christmas Tree 6ft Artificial Tree with Lights 304 LED Lighted Tree with 18 Light Flash Modes Remote Control for Home Office Living Room Indoor Festival Decoration Adaptor Operated,5.67%,0.00%
Amazon.com,face mask,9,B08BK9X7TV,"Disposable Face Mask, Face Masks of 50 Pack Disposable Mask",7.39%,17.08%,B08GQZYSWK,"Disposable Face Masks,Face Masks of 50 Pack Disposable Mask-Black",6.86%,10.01%,B08GS2QFPV,Black Disposable Face Mask Breathable Dust Filter Masks Mouth Cover Masks with Elastic Ear Loop for Men & Women (50pcs),6.65%,0.00%
Amazon.com,ps5 playstation 5,10,B08FC5L3RG,PlayStation 5 Console,61.39%,31.23%,B08FC6C75Y,DualSense Wireless Controller,12.28%,15.88%,B08FC6MR62,PlayStation 5 Digital Edition,9.83%,2.81%
